Month/Year: 05/2013
Station Location: LOS ANGELES INTERNATIONAL AIRPORT (23174)
Lat: 33.938
Lon: -118.388
Elev: 97 ft. above sea level
WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
23174,20130501,0053,11,OVC020, ,10.00, , , ,61, ,16.1, ,56, ,13.3, ,52, ,11.1, , 72, , 6, ,140, , , ,29.57, , , , , ,29.91, ,AA, , , ,29.92, 
23174,20130501,0153,11,OVC020, ,10.00, , , ,61, ,16.1, ,56, ,13.3, ,52, ,11.1, , 72, , 6, ,100, , , ,29.57, , , , , ,29.91, ,AA, , , ,29.92, 
23174,20130501,0253,11,OVC022, ,10.00, , , ,61, ,16.1, ,57, ,13.6, ,53, ,11.7, , 75, , 6, ,130, , , ,29.56, , , , , ,29.91, ,AA, , , ,29.91, 
23174,20130501,0353,11,FEW018 BKN026, ,10.00, , , ,61, ,16.1, ,57, ,13.6, ,53, ,11.7, , 75, , 5, ,150, , , ,29.57, , , , , ,29.91, ,AA, , , ,29.92, 
23174,20130501,0443,11,FEW018 BKN030, ,10.00, , , ,61, ,16.0, ,57, ,13.9, ,54, ,12.0, , 78, , 0, ,000, , , ,29.58, , , , , ,M, ,SP, , , ,29.93, 
23174,20130501,0453,11,FEW018 BKN030, ,10.00, , , ,61, ,16.1, ,57, ,13.6, ,53, ,11.7, , 75, , 0, ,000, , , ,29.58, , , , , ,29.93, ,AA, , , ,29.93, 
23174,20130501,0540,11,SCT018 OVC028, ,10.00, , , ,61, ,16.0, ,57, ,13.9, ,54, ,12.0, , 78, , 0, ,000, , , ,29.60, , , , , ,M, ,SP, , , ,29.95, 
23174,20130501,0553,11,SCT018 OVC028, ,10.00, , , ,62, ,16.7, ,57, ,14.1, ,54, ,12.2, , 75, , 0, ,000, , , ,29.60, , , , , ,29.95, ,AA, , , ,29.95, 
23174,20130501,0653,11,SCT018 OVC028, ,10.00, , , ,62, ,16.7, ,58, ,14.1, ,54, ,12.2, , 75, , 0, ,000, , , ,29.63, , , , , ,29.97, ,AA, , , ,29.98, 
23174,20130501,0753,11,SCT018 OVC028, ,10.00, , , ,63, ,17.2, ,58, ,14.3, ,54, ,12.2, , 73, , 3, ,260, , , ,29.64, , , , , ,29.98, ,AA, , , ,29.99, 
