Month/Year: 05/2013
Station Location: REID-HILLVIEW AIRPORT OF SANTA CLARA COUNTY (93232)
Lat: 37.333
Lon: -121.816
Elev: 133 ft. above sea level
WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
93232,20130501,0550,0,CLR, ,10.00, , , ,54, ,12.0, ,49, ,9.7, ,45, ,7.0, , 72, , 6, ,VR , , , ,29.78, , , , , ,M, ,AA, , , ,29.93, 
93232,20130501,0647,0,CLR, ,10.00, , , ,64, ,18.0, ,50, ,10.2, ,36, ,2.0, , 36, , 6, ,280, , , ,29.80, , , , , ,M, ,AA, , , ,29.95, 
93232,20130501,0747,0,CLR, ,10.00, , , ,72, ,22.0, ,49, ,9.5, ,19, ,-7.0, , 13, ,13, ,290, , , ,29.81, , , , , ,M, ,AA, , , ,29.96, 
93232,20130501,0856,0,CLR, ,10.00, , , ,77, ,25.0, ,51, ,10.7, ,19, ,-7.0, , 11, ,11, ,290, , , ,29.83, , , , , ,M, ,AA, , , ,29.97, 
93232,20130501,0947,0,CLR, ,10.00, , , ,79, ,26.0, ,52, ,11.2, ,19, ,-7.0, , 10, ,10, ,280, , , ,29.83, , , , , ,M, ,AA, , , ,29.98, 
93232,20130501,1055,0,CLR, ,10.00, , , ,81, ,27.0, ,53, ,11.6, ,18, ,-8.0, , 9, , 9, ,290, , , ,29.84, , , , , ,M, ,AA, , , ,29.99, 
93232,20130501,1247,0,CLR, ,10.00, , , ,84, ,29.0, ,55, ,12.6, ,21, ,-6.0, , 10, ,15, ,250, , , ,29.84, , , , , ,M, ,AA, , , ,29.99, 
93232,20130501,1358,0,CLR, ,10.00, , , ,88, ,31.0, ,57, ,14.0, ,25, ,-4.0, , 10, ,13, ,260, ,20, ,29.84, , , , , ,M, ,AA, , , ,29.99, 
93232,20130501,1559,0,CLR, ,10.00, , , ,88, ,31.0, ,60, ,15.3, ,34, ,1.0, , 15, ,17, ,260, , , ,29.84, , , , , ,M, ,AA, , , ,29.99, 
93232,20130501,1655,0,CLR, ,10.00, , , ,86, ,30.0, ,59, ,14.9, ,34, ,1.0, , 16, ,18, ,260, , , ,29.86, , , , , ,M, ,AA, , , ,30.01, 
